objectid,assessment_year,formatted_address,community,neighborhood,ward,zoning,landuse,parcel_area_sqft,property_type,totalvalue,multiple_uses,main_pt,buildinguse,yearbuilt,belowgroundarea,abovegroundarea,num_stories,garage_present,primaryheating,constructiontype,exteriortype,roof,total_units,fireplaces,bathrooms,bedrooms
24,2020,"4806 NORTHROP DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6903,RESIDENTIAL,377500,NO,R,SINGLE FAM. DWLG.,1963.0,1232,1232,1,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,2,3
25,2020,"4800 NORTHROP DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6606,RESIDENTIAL,540500,NO,R,SINGLE FAM. DWLG.,1963.0,1066,2173,2,2,FORCED AIR,WOOD FRAME,WOOD,HIP,1,2,4,4
26,2020,"4718 NORTHROP DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6308,RESIDENTIAL,442500,NO,R,SINGLE FAM. DWLG.,1964.0,750,1768,2,2,FORCED AIR,WOOD FRAME,WOOD,GAMBREL,1,2,3,3
27,2020,"4712 NORTHROP DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6375,RESIDENTIAL,539500,NO,R,SINGLE FAM. DWLG.,1960.0,1190,2102,2,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,4,4
28,2020,"4706 NORTHROP DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6176,RESIDENTIAL,432000,NO,R,SPLIT LEVEL SNG. DWLG.,1960.0,1565,1565,1,2,HOT WATER,WOOD FRAME,FIBER CEMENT BOARD,HIP,1,2,2,3
29,2020,"4041 MORRILL LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6029,RESIDENTIAL,454500,NO,R,SPLIT ENTRY SGL. DWLG.,1965.0,1246,1246,1,2,FORCED AIR,WOOD FRAME,FIBER CEMENT BOARD,GABLE,1,2,2,4
30,2020,"4027 MORRILL LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,7840,RESIDENTIAL,397500,NO,R,SINGLE FAM. DWLG.,1960.0,1106,1206,1,3,FORCED AIR,WOOD FRAME,STUCCO,GABLE,1,2,2,2
31,2020,"4707 FOLWELL DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,7038,RESIDENTIAL,419000,NO,R,SINGLE FAM. DWLG.,1963.0,1090,1671,1.5,2,FORCED AIR,WOOD FRAME,FIBER CEMENT BOARD,GABLE,1,0,2,4
32,2020,"4711 FOLWELL DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6921,RESIDENTIAL,428500,NO,R,SINGLE FAM. DWLG.,1965.0,1456,1456,1,2,FORCED AIR,WOOD FRAME,METAL/VINYL,HIP,1,1,2,4
33,2020,"4717 FOLWELL DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6600,RESIDENTIAL,505500,NO,R,SINGLE FAM. DWLG.,1965.0,858,1928,2,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,1,4,3
34,2020,"4723 FOLWELL DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6485,RESIDENTIAL,442500,NO,R,SINGLE FAM. DWLG.,1964.0,768,1536,2,1,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,3,3
35,2020,"4729 FOLWELL DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6478,RESIDENTIAL,330500,NO,R,SPLIT LEVEL SNG. DWLG.,1965.0,552,1150,1,1,FORCED AIR,WOOD FRAME,WOOD,HIP,1,0,2,3
36,2020,"4735 FOLWELL DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6539,RESIDENTIAL,475500,NO,R,SINGLE FAM. DWLG.,1964.0,1022,1622,1.5,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,3,4
37,2020,"4741 FOLWELL DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6518,RESIDENTIAL,541000,NO,R,SPLIT ENTRY SGL. DWLG.,1964.0,1174,1174,1,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,2,3
38,2020,"4801 FOLWELL DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6661,RESIDENTIAL,486500,NO,R,SPLIT ENTRY SGL. DWLG.,1964.0,1160,1214,1,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,2,4
39,2020,"4807 FOLWELL DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6668,RESIDENTIAL,459000,NO,R,SPLIT ENTRY SGL. DWLG.,1963.0,1164,1164,1,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,2,4
40,2020,"4811 FOLWELL DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6645,RESIDENTIAL,535000,NO,R,SPLIT LEVEL SNG. DWLG.,1963.0,1348,1808,1,2,FORCED AIR,WOOD FRAME,OTHER,HIP,1,1,3,0
41,2020,"4817 FOLWELL DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6304,RESIDENTIAL,510000,NO,R,SINGLE FAM. DWLG.,1961.0,1026,1942,1.7,1,FORCED AIR,WOOD FRAME,WOOD,GAMBREL,1,2,3,5
42,2020,"4825 FOLWELL DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,9600,RESIDENTIAL,808000,NO,R,SINGLE FAM. DWLG.,1965.0,2296,2296,1,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,4,4
43,2020,"4006 EDMUND BLVD, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,9557,RESIDENTIAL,610000,NO,R,SPLIT LEVEL SNG. DWLG.,1960.0,1802,2248,1,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,4,5
44,2020,"4615 FOLWELL DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6015,RESIDENTIAL,475400,NO,R,SPLIT ENTRY SGL. DWLG.,1965.0,1451,1451,1,2,FORCED AIR,WOOD FRAME,WOOD,HIP,1,2,3,4
45,2020,"4034 MORRILL LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6090,RESIDENTIAL,409000,NO,R,SINGLE FAM. DWLG.,1965.0,988,1688,1.7,2,FORCED AIR,WOOD FRAME,BRICK,GABLE,1,0,2,4
46,2020,"4040 MORRILL LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6090,RESIDENTIAL,330500,NO,R,SINGLE FAM. DWLG.,1965.0,1086,1086,1,2,FORCED AIR,WOOD FRAME,STUCCO,HIP,1,1,2,2
47,2020,"4046 MORRILL LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6090,RESIDENTIAL,376500,NO,R,SINGLE FAM. DWLG.,1961.0,1631,1631,1,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,1,3,3
48,2020,"4052 MORRILL LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6438,RESIDENTIAL,409500,NO,R,SINGLE FAM. DWLG.,1961.0,1584,1584,1,2,FORCED AIR,WOOD FRAME,STUCCO,HIP,1,1,3,3
49,2020,"4100 MORRILL LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,7018,RESIDENTIAL,562000,NO,R,SINGLE FAM. DWLG.,1965.0,1056,2294,2,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,3,4
50,2020,"4106 MORRILL LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,7308,RESIDENTIAL,422000,NO,R,SINGLE FAM. DWLG.,1967.0,1356,1356,1,2,FORCED AIR,WOOD FRAME,OTHER,HIP,1,1,3,3
51,2020,"4112 MORRILL LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,7308,RESIDENTIAL,447500,NO,R,SINGLE FAM. DWLG.,1961.0,1008,2086,2,2,FORCED AIR,WOOD FRAME,METAL/VINYL,GABLE,1,3,3,4
52,2020,"4118 MORRILL LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,7308,RESIDENTIAL,415000,NO,R,SINGLE FAM. DWLG.,1960.0,1592,1592,1,1,FORCED AIR,WOOD FRAME,BRICK,GABLE,1,2,1,3
53,2020,"4124 MORRILL LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,7308,RESIDENTIAL,376500,NO,R,SINGLE FAM. DWLG.,1963.0,1188,1188,1,2,HOT WATER,WOOD FRAME,STUCCO,HIP,1,2,3,2
54,2020,"4130 MORRILL LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6765,RESIDENTIAL,530500,NO,R,SINGLE FAM. DWLG.,1963.0,1625,2012,1,2,FORCED AIR,WOOD FRAME,BRICK,GABLE,1,2,3,4
55,2020,"4136 MORRILL LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6523,RESIDENTIAL,330000,NO,R,SINGLE FAM. DWLG.,1960.0,1113,1113,1,1,FORCED AIR,WOOD FRAME,WOOD,HIP,1,0,2,2
67,2020,"4715 NORTHROP DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6577,RESIDENTIAL,449500,NO,R,SINGLE FAM. DWLG.,1963.0,1776,1776,1,2,HOT WATER,WOOD FRAME,WOOD,GABLE,1,2,3,4
68,2020,"4106 BURTON LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6438,RESIDENTIAL,394500,NO,R,SINGLE FAM. DWLG.,1965.0,1216,1216,1,2,FORCED AIR,WOOD FRAME,STUCCO,GABLE,1,2,2,2
69,2020,"4112 BURTON LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6419,RESIDENTIAL,477500,NO,R,SPLIT LEVEL SNG. DWLG.,1965.0,825,1497,1,2,FORCED AIR,WOOD FRAME,BRICK,GABLE,1,1,2,2
70,2020,"4118 BURTON LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6888,RESIDENTIAL,586500,NO,R,SINGLE FAM. DWLG.,1961.0,918,1968,2,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,3,3
71,2020,"4124 BURTON LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6944,RESIDENTIAL,459000,NO,R,SPLIT ENTRY SGL. DWLG.,1966.0,1310,1310,1,2,FORCED AIR,WOOD FRAME,STUCCO,GABLE,1,1,2,3
72,2020,"4130 BURTON LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6786,RESIDENTIAL,694500,NO,R,SPLIT LEVEL SNG. DWLG.,1960.0,750,2052,1,2,FORCED AIR,WOOD FRAME,FIBER CEMENT BOARD,HIP,1,2,3,3
73,2020,"4136 BURTON LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6420,RESIDENTIAL,505000,NO,R,SPLIT ENTRY SGL. DWLG.,1965.0,1410,1410,1,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,3,3
74,2020,"4142 BURTON LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6300,RESIDENTIAL,417000,NO,R,SINGLE FAM. DWLG.,1960.0,1356,1356,1,2,FORCED AIR,WOOD FRAME,STUCCO,HIP,1,2,2,3
75,2020,"4148 BURTON LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6660,RESIDENTIAL,613000,NO,R,SPLIT LEVEL SNG. DWLG.,1960.0,988,1775,1,2,FORCED AIR,WOOD FRAME,WOOD,HIP,1,2,3,4
76,2020,"4154 BURTON LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6554,RESIDENTIAL,461500,NO,R,SPLIT LEVEL SNG. DWLG.,1962.0,644,1398,1,2,FORCED AIR,WOOD FRAME,BRICK,HIP,1,2,2,3
77,2020,"4160 BURTON LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6670,RESIDENTIAL,498000,NO,R,SPLIT LEVEL SNG. DWLG.,1961.0,958,2136,1,2,HOT WATER,WOOD FRAME,BRICK,GABLE,1,2,2,3
78,2020,"4166 BURTON LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,7800,RESIDENTIAL,474500,NO,R,SINGLE FAM. DWLG.,1961.0,991,1491,1.5,2,FORCED AIR,WOOD FRAME,METAL/VINYL,GABLE,1,2,3,4
80,2020,"4700 42ND ST E, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6786,RESIDENTIAL,313500,NO,R,SINGLE FAM. DWLG.,1959.0,992,1322,1,1,FORCED AIR,WOOD FRAME,STUCCO,HIP,1,1,1,3
81,2020,"4620 42ND ST E, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6206,RESIDENTIAL,315000,NO,R,SPLIT LEVEL SNG. DWLG.,1960.0,675,1200,1,2,HOT WATER,WOOD FRAME,WOOD,HIP,1,0,2,3
83,2020,"4141 MORRILL LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,11358,RESIDENTIAL,322500,NO,R,SINGLE FAM. DWLG.,1960.0,1100,1296,1,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,1,2,3
84,2020,"4137 MORRILL LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,9681,RESIDENTIAL,630000,NO,R,SINGLE FAM. DWLG.,1960.0,1056,2112,2,2,HOT WATER,WOOD FRAME,WOOD,GABLE,1,2,4,4
85,2020,"4133 MORRILL LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,7463,RESIDENTIAL,401000,NO,R,SINGLE FAM. DWLG.,1964.0,1194,1194,1,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,1,3,4
86,2020,"4129 MORRILL LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6649,RESIDENTIAL,485000,NO,R,SINGLE FAM. DWLG.,1961.0,1107,1867,1.7,2,HOT WATER,WOOD FRAME,WOOD,GABLE,1,2,2,4
87,2020,"4123 MORRILL LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6900,RESIDENTIAL,402000,NO,R,SINGLE FAM. DWLG.,1960.0,1217,1217,1,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,2,3
88,2020,"4117 MORRILL LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,7140,RESIDENTIAL,414000,NO,R,SINGLE FAM. DWLG.,1960.0,1290,1290,1,2,FORCED AIR,WOOD FRAME,WOOD,HIP,1,2,2,3
89,2020,"4111 MORRILL LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,7140,RESIDENTIAL,344500,NO,R,SINGLE FAM. DWLG.,1960.0,1092,1092,1,2,FORCED AIR,WOOD FRAME,STUCCO,HIP,1,1,2,3
90,2020,"4107 MORRILL LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6660,RESIDENTIAL,516000,NO,R,SPLIT LEVEL SNG. DWLG.,1960.0,576,1852,1,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,2,3
91,2020,"4701 NORTHROP DR, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6592,RESIDENTIAL,460000,NO,R,SINGLE FAM. DWLG.,1961.0,2089,2089,1,2,HOT WATER,WOOD FRAME,STUCCO,GABLE,1,2,3,5
92,2020,"4100 COFFMAN LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,8233,RESIDENTIAL,497000,NO,B,SPLIT LEVEL SNG. DWLG.,1973.0,1174,1643,1,2,FORCED AIR,WOOD FRAME,STUCCO,HIP,1,3,4,3
93,2020,"4110 COFFMAN LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6341,RESIDENTIAL,553000,NO,R,SINGLE FAM. DWLG.,1964.0,1038,2271,2,2,FORCED AIR,WOOD FRAME,METAL/VINYL,GABLE,1,2,4,5
94,2020,"4116 COFFMAN LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6032,RESIDENTIAL,491000,NO,R,SPLIT ENTRY SGL. DWLG.,1967.0,836,1480,1,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,3,4
95,2020,"4122 COFFMAN LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,5974,RESIDENTIAL,451000,NO,R,SPLIT ENTRY SGL. DWLG.,1963.0,1164,1187,1,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,2,2
96,2020,"4128 COFFMAN LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6180,RESIDENTIAL,507000,NO,R,SPLIT ENTRY SGL. DWLG.,1965.0,1120,1328,1,2,FORCED AIR,WOOD FRAME,METAL/VINYL,GABLE,1,3,2,5
97,2020,"4134 COFFMAN LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6600,RESIDENTIAL,596000,NO,R,SINGLE FAM. DWLG.,1964.0,1278,2412,2,2,FORCED AIR,WOOD FRAME,BRICK,GABLE,1,1,3,3
98,2020,"4140 COFFMAN LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6420,RESIDENTIAL,493000,NO,R,SPLIT ENTRY SGL. DWLG.,1967.0,1440,1440,1,2,FORCED AIR,WOOD FRAME,METAL/VINYL,GABLE,1,2,3,3
99,2020,"4146 COFFMAN LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,5945,RESIDENTIAL,409000,NO,R,SINGLE FAM. DWLG.,1964.0,1040,1040,1,1,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,0,2,4
100,2020,"4152 COFFMAN LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,5900,RESIDENTIAL,676000,NO,R,SINGLE FAM. DWLG.,1960.0,1132,2960,2,2,HOT WATER,WOOD FRAME,BRICK,GABLE,1,2,4,4
101,2020,"4158 COFFMAN LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,6018,RESIDENTIAL,479000,NO,R,SINGLE FAM. DWLG.,1964.0,1598,1598,1,2,FORCED AIR,WOOD FRAME,BRICK,GABLE,1,1,2,3
102,2020,"4164 COFFMAN LN, Minneapolis, MN",LONGFELLOW,HIAWATHA,12,R1,SINGLE-FAMILY DETACHED DW,5900,RESIDENTIAL,483000,NO,R,CONTEMPORARY,1963.0,1472,1472,1,2,FORCED AIR,WOOD FRAME,WOOD,FLAT,1,1,2,4
